mode,set_size_bit,set_size,num_clients_per_server,max_weight,recommended_weight_scale_div
random,12,4096,8,8000000,2097152
random,12,4096,9,8192,2048
random,12,4096,9,1000000,262144
random,12,4096,9,8000000,2097152
random,12,4096,10,8192,2048
random,12,4096,10,1000000,262144
random,12,4096,10,8000000,2097152
random,12,4096,11,8192,2048
random,12,4096,11,1000000,262144
random,12,4096,11,8000000,2097152
random,12,4096,12,8192,2048
random,12,4096,12,1000000,262144
random,12,4096,12,8000000,2097152
random,12,4096,13,8192,2048
random,12,4096,13,1000000,262144
random,12,4096,13,8000000,2097152
random,12,4096,14,8192,2048
random,12,4096,14,1000000,262144
random,12,4096,14,8000000,2097152
random,12,4096,15,8192,2048
random,12,4096,15,1000000,262144
random,12,4096,15,8000000,2097152
random,12,4096,16,8192,2048
random,12,4096,16,1000000,262144
random,12,4096,16,8000000,2097152
random,12,4096,17,8192,2048
random,12,4096,17,1000000,262144
random,12,4096,17,8000000,2097152
random,12,4096,18,8192,2048
random,12,4096,18,1000000,262144
random,12,4096,18,8000000,2097152
random,12,4096,19,8192,2048
random,12,4096,19,1000000,262144
random,12,4096,19,8000000,2097152
random,12,4096,20,8192,2048
random,12,4096,20,1000000,262144
random,12,4096,20,8000000,2097152
random,13,8192,1,8192,2048
random,13,8192,1,1000000,262144
random,13,8192,1,8000000,2097152
random,13,8192,2,8192,2048
random,13,8192,2,1000000,262144
random,13,8192,2,8000000,2097152
random,13,8192,3,8192,2048
random,13,8192,3,1000000,262144
random,13,8192,3,8000000,2097152
random,13,8192,4,8192,2048
random,13,8192,4,1000000,262144
random,13,8192,4,8000000,2097152
random,13,8192,5,8192,2048
random,13,8192,5,1000000,262144
random,13,8192,5,8000000,2097152
random,13,8192,6,8192,2048
random,13,8192,6,1000000,262144
random,13,8192,6,8000000,2097152
random,13,8192,7,8192,2048
random,13,8192,7,1000000,262144
random,13,8192,7,8000000,2097152
random,13,8192,8,8192,2048
random,13,8192,8,1000000,262144
random,13,8192,8,8000000,2097152
random,13,8192,9,8192,2048
random,13,8192,9,1000000,262144
random,13,8192,9,8000000,2097152
random,13,8192,10,8192,2048
random,13,8192,10,1000000,262144
random,13,8192,10,8000000,2097152
random,13,8192,11,8192,2048
random,13,8192,11,1000000,262144
random,13,8192,11,8000000,2097152
random,13,8192,12,8192,2048
random,13,8192,12,1000000,262144
random,13,8192,12,8000000,2097152
random,13,8192,13,8192,2048
random,13,8192,13,1000000,262144
random,13,8192,13,8000000,2097152
random,13,8192,14,8192,2048
random,13,8192,14,1000000,262144
random,13,8192,14,8000000,2097152
random,13,8192,15,8192,2048
random,13,8192,15,1000000,262144
random,13,8192,15,8000000,2097152
random,13,8192,16,8192,2048
random,13,8192,16,1000000,262144
random,13,8192,16,8000000,2097152
random,13,8192,17,8192,2048
random,13,8192,17,1000000,262144
random,13,8192,17,8000000,2097152
random,13,8192,18,8192,2048
random,13,8192,18,1000000,262144
random,13,8192,18,8000000,2097152
random,13,8192,19,8192,2048
random,13,8192,19,1000000,262144
random,13,8192,19,8000000,2097152
random,13,8192,20,8192,2048
random,13,8192,20,1000000,262144
random,13,8192,20,8000000,2097152
random,14,16384,1,8192,4096
random,14,16384,1,1000000,524288
random,14,16384,1,8000000,4194304
random,14,16384,2,8192,4096
random,14,16384,2,1000000,524288
random,14,16384,2,8000000,4194304
random,14,16384,3,8192,4096
random,14,16384,3,1000000,524288
random,14,16384,3,8000000,4194304
random,14,16384,4,8192,4096
random,14,16384,4,1000000,524288
random,14,16384,4,8000000,4194304
random,14,16384,5,8192,4096
random,14,16384,5,1000000,524288
random,14,16384,5,8000000,4194304
random,14,16384,6,8192,4096
random,14,16384,6,1000000,524288
random,14,16384,6,8000000,4194304
random,14,16384,7,8192,4096
random,14,16384,7,1000000,524288
random,14,16384,7,8000000,4194304
random,14,16384,8,8192,4096
random,14,16384,8,1000000,524288
random,14,16384,8,8000000,4194304
random,14,16384,9,8192,4096
random,14,16384,9,1000000,524288
random,14,16384,9,8000000,4194304
random,14,16384,10,8192,4096
random,14,16384,10,1000000,524288
random,14,16384,10,8000000,4194304
random,14,16384,11,8192,4096
random,14,16384,11,1000000,524288
random,14,16384,11,8000000,4194304
random,14,16384,12,8192,4096
random,14,16384,12,1000000,524288
random,14,16384,12,8000000,4194304
random,14,16384,13,8192,4096
random,14,16384,13,1000000,524288
random,14,16384,13,8000000,4194304
random,14,16384,14,8192,4096
random,14,16384,14,1000000,524288
random,14,16384,14,8000000,4194304
random,14,16384,15,8192,4096
random,14,16384,15,1000000,524288
random,14,16384,15,8000000,4194304
random,14,16384,16,8192,4096
random,14,16384,16,1000000,524288
random,14,16384,16,8000000,4194304
random,14,16384,17,8192,4096
random,14,16384,17,1000000,524288
random,14,16384,17,8000000,4194304
random,14,16384,18,8192,4096
random,14,16384,18,1000000,524288
random,14,16384,18,8000000,4194304
random,14,16384,19,8192,4096
random,14,16384,19,1000000,524288
random,14,16384,19,8000000,4194304
random,14,16384,20,8192,4096
random,14,16384,20,1000000,524288
random,14,16384,20,8000000,4194304
random,15,32768,1,8192,4096
random,15,32768,1,1000000,524288
random,15,32768,1,8000000,4194304
random,15,32768,2,8192,4096
random,15,32768,2,1000000,524288
random,15,32768,2,8000000,4194304
random,15,32768,3,8192,4096
random,15,32768,3,1000000,524288
random,15,32768,3,8000000,4194304
random,15,32768,4,8192,4096
