mode,set_size_bit,set_size,num_clients_per_server,max_weight,recommended_weight_scale_div
worst_overlap,11,2048,10,1000000,524288
worst_overlap,11,2048,10,8000000,4194304
worst_overlap,11,2048,11,8192,4096
worst_overlap,11,2048,11,1000000,524288
worst_overlap,11,2048,11,8000000,4194304
worst_overlap,11,2048,12,8192,4096
worst_overlap,11,2048,12,1000000,524288
worst_overlap,11,2048,12,8000000,4194304
worst_overlap,11,2048,13,8192,4096
worst_overlap,11,2048,13,1000000,524288
worst_overlap,11,2048,13,8000000,4194304
worst_overlap,11,2048,14,8192,4096
worst_overlap,11,2048,14,1000000,524288
worst_overlap,11,2048,14,8000000,4194304
worst_overlap,11,2048,15,8192,4096
worst_overlap,11,2048,15,1000000,524288
worst_overlap,11,2048,15,8000000,4194304
worst_overlap,11,2048,16,8192,4096
worst_overlap,11,2048,16,1000000,524288
worst_overlap,11,2048,16,8000000,4194304
worst_overlap,11,2048,17,8192,4096
worst_overlap,11,2048,17,1000000,524288
worst_overlap,11,2048,17,8000000,4194304
worst_overlap,11,2048,18,8192,4096
worst_overlap,11,2048,18,1000000,524288
worst_overlap,11,2048,18,8000000,4194304
worst_overlap,11,2048,19,8192,4096
worst_overlap,11,2048,19,1000000,524288
worst_overlap,11,2048,19,8000000,4194304
worst_overlap,11,2048,20,8192,4096
worst_overlap,11,2048,20,1000000,524288
worst_overlap,11,2048,20,8000000,4194304
worst_overlap,12,4096,1,8192,2048
worst_overlap,12,4096,1,1000000,262144
worst_overlap,12,4096,1,8000000,2097152
worst_overlap,12,4096,2,8192,2048
worst_overlap,12,4096,2,1000000,262144
worst_overlap,12,4096,2,8000000,2097152
worst_overlap,12,4096,3,8192,4096
worst_overlap,12,4096,3,1000000,524288
worst_overlap,12,4096,3,8000000,4194304
worst_overlap,12,4096,4,8192,4096
worst_overlap,12,4096,4,1000000,524288
worst_overlap,12,4096,4,8000000,4194304
worst_overlap,12,4096,5,8192,4096
